distortion,actual_psnr,cnn_predicted,brisque_predicted,cnn_error,brisque_error
Gaussian_s002,34.11,43.33,51.81,9.22,17.7
Gaussian_s002,34.06,43.07,51.74,9.01,17.68
Gaussian_s002,34.13,39.17,54.16,5.04,20.03
Gaussian_s002,34.1,43.68,51.86,9.58,17.76
Gaussian_s002,34.13,39.24,52.11,5.11,17.97
Gaussian_s002,34.11,41.02,53.96,6.91,19.85
Gaussian_s002,34.11,40.44,50.31,6.33,16.2
Gaussian_s002,34.02,38.91,51.32,4.89,17.3
Gaussian_s002,34.14,41.89,53.67,7.75,19.54
Gaussian_s002,34.14,37.83,54.31,3.69,20.17
Gaussian_s002,34.12,41.66,50.36,7.55,16.24
Gaussian_s002,34.11,41.11,53.84,6.99,19.72
Gaussian_s002,34.09,43.05,51.1,8.96,17.01
Gaussian_s002,34.05,39.88,49.12,5.83,15.07
Gaussian_s002,34.09,33.24,52.52,0.86,18.43
Gaussian_s002,34.08,45.44,53.23,11.36,19.15
Gaussian_s002,34.0,40.31,51.36,6.31,17.36
Gaussian_s002,34.08,32.46,53.33,1.61,19.25
Gaussian_s002,34.08,42.38,49.87,8.29,15.78
Gaussian_s002,34.06,40.17,53.47,6.11,19.41
Gaussian_s002,34.15,39.17,55.12,5.02,20.98
Gaussian_s002,34.14,40.69,54.16,6.55,20.01
Gaussian_s002,34.06,41.72,52.18,7.65,18.12
Gaussian_s002,34.07,42.51,47.39,8.44,13.32
Gaussian_s002,34.13,42.88,51.26,8.75,17.13
Gaussian_s002,34.08,50.19,53.33,16.12,19.26
Gaussian_s002,34.2,30.12,54.11,4.09,19.91
Gaussian_s002,34.09,36.26,50.98,2.17,16.89
Gaussian_s002,34.09,42.43,53.58,8.34,19.5
Gaussian_s002,34.04,40.27,49.95,6.23,15.91
Gaussian_s002,34.11,37.5,51.55,3.4,17.44
Gaussian_s002,34.02,40.39,50.82,6.37,16.8
Gaussian_s002,34.08,44.29,49.95,10.21,15.87
Gaussian_s002,34.13,36.47,52.65,2.34,18.53
Gaussian_s002,34.17,40.8,54.82,6.63,20.65
Gaussian_s002,34.12,45.41,53.3,11.29,19.18
Gaussian_s002,34.09,40.65,51.89,6.56,17.8
Gaussian_s002,34.05,33.79,52.37,0.26,18.31
Gaussian_s002,34.12,41.43,46.65,7.3,12.53
Gaussian_s002,34.1,41.21,52.54,7.1,18.43
Gaussian_s002,34.17,43.68,53.8,9.51,19.63
Gaussian_s002,34.03,35.74,50.66,1.7,16.62
Gaussian_s002,34.19,37.86,52.64,3.67,18.45
Gaussian_s002,34.1,42.29,54.22,8.18,20.12
Gaussian_s002,34.12,36.56,53.03,2.44,18.9
Gaussian_s002,34.08,39.68,50.3,5.61,16.22
Gaussian_s002,34.11,41.78,52.34,7.67,18.23
Gaussian_s002,34.08,38.75,54.77,4.67,20.69
Gaussian_s002,34.09,41.43,53.64,7.35,19.55
Gaussian_s002,34.13,42.59,50.32,8.46,16.19
Gaussian_s002,34.04,42.2,50.95,8.16,16.9
Gaussian_s002,34.25,40.39,51.03,6.14,16.78
Gaussian_s002,34.03,37.32,52.76,3.29,18.73
Gaussian_s002,34.1,38.68,53.04,4.58,18.94
Gaussian_s002,34.19,39.07,49.69,4.87,15.49
Gaussian_s002,34.07,42.1,52.23,8.03,18.16
Gaussian_s002,34.12,40.19,51.96,6.07,17.84
Gaussian_s002,34.04,47.27,54.26,13.23,20.22
Gaussian_s002,34.13,36.99,50.14,2.86,16.01
Gaussian_s002,34.17,40.35,53.88,6.19,19.71
Gaussian_s002,34.19,37.69,50.03,3.5,15.84
Gaussian_s002,34.07,43.91,54.2,9.84,20.13
Gaussian_s002,34.07,45.72,51.53,11.65,17.46
Gaussian_s002,34.19,42.29,51.35,8.09,17.15
Gaussian_s002,34.09,39.92,53.11,5.83,19.02
Gaussian_s002,34.11,42.56,53.51,8.45,19.4
Gaussian_s002,34.06,42.5,51.23,8.45,17.17
Gaussian_s002,34.06,45.73,53.54,11.67,19.49
Gaussian_s002,34.13,38.84,53.95,4.71,19.82
Gaussian_s002,34.1,39.76,55.51,5.66,21.41
Gaussian_s002,34.1,44.03,54.33,9.92,20.23
Gaussian_s002,34.13,44.69,50.98,10.55,16.85
Gaussian_s002,34.06,40.77,52.49,6.71,18.42
Gaussian_s002,34.05,38.83,39.2,4.77,5.15
Gaussian_s002,34.06,38.86,54.81,4.79,20.75
Gaussian_s002,34.09,37.5,54.11,3.41,20.02
Gaussian_s002,34.09,34.71,53.24,0.62,19.15
Gaussian_s002,34.08,39.05,51.94,4.96,17.86
Gaussian_s002,34.05,43.58,53.79,9.53,19.74
Gaussian_s002,34.12,41.19,52.45,7.07,18.33
Gaussian_s002,34.13,43.27,52.2,9.14,18.07
Gaussian_s002,34.1,39.19,53.64,5.09,19.54
Gaussian_s002,34.13,39.16,50.04,5.02,15.91
Gaussian_s002,34.11,41.78,52.99,7.67,18.88
Gaussian_s002,34.15,40.47,53.71,6.32,19.56
Gaussian_s002,34.13,40.72,50.35,6.59,16.22
Gaussian_s002,34.07,38.5,51.8,4.42,17.73
Gaussian_s002,34.1,41.89,54.49,7.79,20.39
Gaussian_s002,34.16,45.0,51.99,10.84,17.83
Gaussian_s002,34.07,46.45,47.61,12.39,13.55
Gaussian_s002,34.04,42.86,54.97,8.81,20.93
Gaussian_s002,34.15,43.45,52.92,9.3,18.78
Gaussian_s002,34.09,32.79,48.28,1.3,14.19
Gaussian_s002,34.04,41.27,51.37,7.22,17.33
Gaussian_s002,34.1,43.79,54.14,9.69,20.04
Gaussian_s002,34.09,45.31,52.7,11.22,18.61
Gaussian_s002,34.11,36.35,52.15,2.25,18.05
Gaussian_s002,34.09,41.25,55.27,7.16,21.18
Gaussian_s002,34.08,35.83,49.47,1.75,15.4
Gaussian_s002,34.13,42.64,51.22,8.51,17.08
Gaussian_s002,34.15,40.59,51.73,6.45,17.58
Gaussian_s002,34.05,40.65,49.98,6.6,15.93
Gaussian_s002,34.05,41.11,52.98,7.06,18.93
Gaussian_s002,34.08,46.54,52.26,12.46,18.18
Gaussian_s002,34.08,43.03,51.87,8.94,17.78
Gaussian_s002,34.12,43.38,54.11,9.25,19.99
Gaussian_s002,34.06,44.57,53.44,10.51,19.38
Gaussian_s002,34.08,38.38,53.5,4.3,19.43
Gaussian_s002,34.09,38.47,54.29,4.39,20.2
Gaussian_s002,34.11,36.08,51.68,1.98,17.57
Gaussian_s002,34.1,46.32,51.87,12.22,17.77
Gaussian_s002,34.23,45.45,50.46,11.22,16.24
Gaussian_s002,34.1,40.81,54.29,6.7,20.18
Gaussian_s002,34.08,41.85,53.47,7.77,19.39
Gaussian_s002,34.18,46.91,51.44,12.72,17.26
Gaussian_s002,34.1,35.3,51.31,1.2,17.21
Gaussian_s002,34.13,36.95,54.04,2.82,19.91
Gaussian_s002,34.13,45.73,53.09,11.6,18.95
Gaussian_s002,34.08,44.05,47.34,9.97,13.25
Gaussian_s002,34.1,45.66,52.36,11.55,18.25
Gaussian_s002,34.05,38.65,52.23,4.6,18.17
Gaussian_s002,34.05,42.36,51.11,8.31,17.06
Gaussian_s002,34.07,49.72,52.38,15.65,18.32
Gaussian_s002,34.07,38.53,53.54,4.46,19.47
Gaussian_s002,34.16,42.62,53.42,8.46,19.26
Gaussian_s002,34.03,39.78,53.95,5.75,19.92
Gaussian_s002,34.12,43.3,53.2,9.18,19.08
Gaussian_s002,34.11,38.78,53.32,4.68,19.22
Gaussian_s002,34.05,39.76,51.92,5.71,17.87
Gaussian_s002,34.12,39.5,51.48,5.38,17.36
Gaussian_s002,34.15,38.88,48.97,4.73,14.82
Gaussian_s002,34.14,46.53,51.17,12.39,17.03
Gaussian_s002,34.15,41.58,52.12,7.43,17.98
Gaussian_s002,34.05,39.33,50.75,5.28,16.7
Gaussian_s002,34.09,32.2,47.63,1.89,13.54
Gaussian_s002,34.08,39.88,53.9,5.8,19.82
Gaussian_s002,34.07,40.25,49.9,6.17,15.82
Gaussian_s002,34.08,36.96,51.12,2.88,17.04
Gaussian_s002,34.13,35.03,51.22,0.9,17.09
Gaussian_s002,34.09,40.65,52.25,6.56,18.16
Gaussian_s002,34.12,42.82,50.69,8.7,16.57
Gaussian_s002,34.12,44.82,52.43,10.7,18.31
Gaussian_s002,34.17,40.54,50.85,6.37,16.68
Gaussian_s002,34.15,44.2,52.66,10.05,18.51
Gaussian_s002,34.14,42.58,52.87,8.43,18.72
Gaussian_s002,34.11,45.61,52.98,11.5,18.87
Gaussian_s002,34.26,42.56,48.47,8.3,14.21
Gaussian_s002,34.12,40.07,51.36,5.95,17.24
Gaussian_s002,34.15,42.59,49.38,8.44,15.23
Gaussian_s002,34.05,40.17,52.79,6.12,18.74
Gaussian_s002,34.06,39.48,52.39,5.42,18.33
Gaussian_s002,34.06,40.04,52.51,5.98,18.46
Gaussian_s002,34.08,47.56,52.97,13.47,18.88
Gaussian_s002,34.11,41.34,53.33,7.23,19.22
Gaussian_s002,34.12,40.31,53.36,6.19,19.23
Gaussian_s002,34.11,34.32,51.64,0.2,17.52
Gaussian_s002,34.11,40.15,53.13,6.05,19.02
Gaussian_s002,34.15,43.03,50.76,8.88,16.61
Gaussian_s002,34.17,38.46,52.74,4.29,18.57
Gaussian_s002,34.16,44.83,51.74,10.67,17.58
Gaussian_s002,34.09,43.36,53.27,9.27,19.18
Gaussian_s002,34.06,42.2,54.47,8.14,20.41
Gaussian_s002,34.12,39.97,51.74,5.86,17.63
Gaussian_s002,34.15,41.62,51.7,7.47,17.55
Gaussian_s002,34.12,33.37,52.79,0.75,18.68
Gaussian_s002,34.01,47.03,51.28,13.03,17.27
Gaussian_s002,34.12,41.01,50.04,6.89,15.92
Gaussian_s002,34.11,39.23,51.96,5.11,17.84
Gaussian_s002,34.08,42.05,47.46,7.98,13.39
Gaussian_s002,34.11,45.6,49.62,11.49,15.51
Gaussian_s002,34.12,47.8,50.39,13.68,16.27
Gaussian_s002,34.1,42.33,53.83,8.23,19.72
Gaussian_s002,34.13,40.79,49.07,6.66,14.94
Gaussian_s002,34.09,41.66,52.77,7.56,18.68
Gaussian_s002,34.07,40.25,52.15,6.18,18.08
Gaussian_s002,34.14,38.32,51.75,4.18,17.61
Gaussian_s002,34.18,38.7,52.26,4.51,18.08
Gaussian_s002,34.09,40.67,52.67,6.58,18.58
Gaussian_s002,34.17,36.75,51.31,2.59,17.14
Gaussian_s002,34.13,47.89,49.2,13.76,15.07
Gaussian_s002,34.08,42.0,50.79,7.92,16.7
Gaussian_s002,34.08,39.87,47.16,5.8,13.08
Gaussian_s002,34.07,32.48,51.19,1.59,17.12
Gaussian_s002,34.13,42.81,53.73,8.68,19.61
Gaussian_s002,34.06,39.78,53.91,5.73,19.85
Gaussian_s002,34.11,37.46,53.71,3.36,19.6
Gaussian_s002,34.06,34.19,54.67,0.13,20.61
Gaussian_s002,34.11,40.85,53.31,6.74,19.19
Gaussian_s002,34.08,35.89,52.52,1.81,18.44
Gaussian_s002,34.12,38.89,53.09,4.77,18.97
Gaussian_s002,34.08,40.86,53.65,6.77,19.56
Gaussian_s002,34.08,42.51,50.98,8.42,16.89
Gaussian_s002,34.17,46.47,49.35,12.3,15.17
Gaussian_s002,34.11,39.55,51.37,5.44,17.26
Gaussian_s002,34.16,36.69,47.73,2.53,13.57
Gaussian_s002,34.09,38.57,51.29,4.48,17.21
Gaussian_s002,34.09,34.66,51.19,0.57,17.1
Gaussian_s002,34.15,44.99,54.3,10.85,20.15
Gaussian_s002,34.06,45.01,54.24,10.95,20.18
Gaussian_s002,34.09,37.89,52.94,3.8,18.85
Gaussian_s002,34.04,37.69,52.06,3.65,18.01
Gaussian_s002,34.12,44.53,54.23,10.42,20.11
Gaussian_s002,34.15,43.35,53.54,9.2,19.39
Gaussian_s002,34.15,41.79,50.11,7.64,15.95
Gaussian_s002,34.18,40.48,48.51,6.3,14.33
Gaussian_s002,34.01,39.32,51.61,5.31,17.6
Gaussian_s002,34.12,45.37,50.79,11.25,16.67
Gaussian_s002,34.06,45.22,52.06,11.16,17.99
Gaussian_s002,34.11,40.65,54.76,6.54,20.65
Gaussian_s002,34.1,39.73,53.21,5.64,19.11
Gaussian_s002,34.03,41.34,52.94,7.31,18.91
Gaussian_s002,34.19,37.01,50.97,2.82,16.78
Gaussian_s002,34.19,38.7,53.43,4.51,19.24
Gaussian_s002,34.12,45.73,51.61,11.61,17.49
Gaussian_s002,34.14,43.01,52.55,8.87,18.41
Gaussian_s002,34.1,42.51,51.34,8.42,17.24
Gaussian_s002,34.16,39.62,51.79,5.46,17.64
Gaussian_s002,34.12,35.05,50.6,0.92,16.48
Gaussian_s002,34.09,41.82,50.88,7.73,16.79
Gaussian_s002,34.11,40.39,48.03,6.28,13.92
Gaussian_s002,34.15,36.64,53.25,2.5,19.1
Gaussian_s002,34.12,36.85,53.75,2.72,19.63
Gaussian_s002,34.09,46.63,51.88,12.54,17.8
Gaussian_s002,34.11,37.9,52.78,3.79,18.68
Gaussian_s002,34.06,31.67,53.36,2.39,19.3
Gaussian_s002,34.12,44.06,52.7,9.94,18.58
Gaussian_s002,34.06,44.87,52.72,10.81,18.66
Gaussian_s002,34.08,39.01,54.02,4.93,19.95
Gaussian_s002,34.08,34.11,51.35,0.03,17.27
Gaussian_s002,34.16,38.91,55.88,4.75,21.72
Gaussian_s002,34.15,37.01,50.25,2.87,16.11
Gaussian_s002,34.14,43.73,50.46,9.59,16.31
Gaussian_s002,34.09,43.83,41.65,9.73,7.56
Gaussian_s002,34.19,44.95,52.96,10.76,18.76
Gaussian_s002,34.12,50.5,52.62,16.39,18.51
Gaussian_s002,34.16,43.39,52.75,9.22,18.59
Gaussian_s002,34.11,41.7,52.8,7.59,18.69
Gaussian_s002,34.06,38.57,53.15,4.51,19.09
Gaussian_s002,34.14,42.3,54.07,8.16,19.93
Gaussian_s002,34.1,48.46,53.87,14.36,19.77
Gaussian_s002,34.12,45.77,53.54,11.65,19.42
Gaussian_s002,34.11,41.94,53.88,7.83,19.76
Gaussian_s002,34.08,35.62,53.97,1.55,19.9
Gaussian_s002,34.24,26.8,51.49,7.45,17.24
Gaussian_s002,34.03,38.89,50.06,4.85,16.02
Gaussian_s002,34.06,33.55,51.47,0.51,17.41
Gaussian_s002,34.15,37.05,52.01,2.89,17.85
Gaussian_s002,34.12,45.52,54.09,11.41,19.98
Gaussian_s002,34.09,48.33,49.97,14.24,15.88
Gaussian_s002,34.11,40.27,50.59,6.15,16.48
Gaussian_s002,34.05,38.03,46.16,3.98,12.11
Gaussian_s002,34.04,39.85,53.13,5.81,19.09
Gaussian_s002,34.09,39.5,51.39,5.41,17.3
Gaussian_s002,34.12,34.84,51.52,0.72,17.39
Gaussian_s002,34.0,40.01,54.16,6.01,20.16
Gaussian_s002,34.01,42.32,53.02,8.31,19.01
Gaussian_s002,34.12,41.98,53.3,7.86,19.18
Gaussian_s002,34.14,39.58,49.51,5.45,15.37
Gaussian_s002,34.0,37.07,54.2,3.07,20.2
Gaussian_s002,34.1,37.16,53.06,3.06,18.95
Gaussian_s002,34.09,45.41,46.89,11.32,12.79
Gaussian_s002,34.16,41.18,52.98,7.02,18.82
Gaussian_s002,34.13,37.97,53.4,3.84,19.27
Gaussian_s002,34.08,41.74,51.18,7.65,17.1
Gaussian_s002,34.05,41.95,52.06,7.9,18.0
Gaussian_s002,34.12,36.3,49.18,2.17,15.06
Gaussian_s002,34.09,34.85,52.38,0.76,18.29
Gaussian_s002,34.03,39.38,50.98,5.34,16.94
Gaussian_s002,34.05,35.25,54.78,1.21,20.73
Gaussian_s002,34.1,43.28,51.64,9.18,17.53
Gaussian_s002,34.11,44.5,52.28,10.4,18.18
Gaussian_s002,34.12,27.27,51.92,6.86,17.79
Gaussian_s002,34.1,38.2,52.32,4.1,18.22
Gaussian_s002,34.13,44.43,52.86,10.3,18.73
Gaussian_s002,34.11,45.05,53.25,10.94,19.14
Gaussian_s002,34.16,35.51,54.57,1.35,20.41
Gaussian_s002,34.11,36.16,51.83,2.04,17.72
Gaussian_s002,34.11,42.02,52.79,7.91,18.68
Gaussian_s002,34.05,40.11,53.37,6.05,19.31
Gaussian_s002,34.06,39.99,51.23,5.92,17.16
Gaussian_s002,34.07,44.03,52.21,9.96,18.15
Gaussian_s002,34.11,45.81,54.42,11.7,20.31
Gaussian_s002,34.15,38.77,52.62,4.62,18.47
Gaussian_s002,34.1,41.73,54.03,7.64,19.93
Gaussian_s002,34.13,45.14,53.46,11.01,19.32
Gaussian_s002,34.07,40.91,50.25,6.85,16.19
Gaussian_s002,34.12,40.27,51.35,6.16,17.23
Gaussian_s002,34.11,37.22,49.89,3.11,15.78
Gaussian_s002,34.1,38.1,54.94,4.01,20.84
Gaussian_s002,34.04,38.24,55.36,4.2,21.32
Gaussian_s002,34.12,40.06,52.72,5.94,18.6
Gaussian_s002,34.11,34.85,52.93,0.74,18.81
Gaussian_s002,34.09,41.15,52.45,7.07,18.36
Gaussian_s002,34.09,44.59,51.52,10.5,17.42
Gaussian_s002,34.1,39.09,54.16,4.99,20.06
Gaussian_s002,34.03,47.09,54.34,13.05,20.31
Gaussian_s002,34.1,34.61,51.74,0.51,17.64
Gaussian_s002,34.17,41.5,54.02,7.33,19.85
Gaussian_s002,34.05,42.06,53.22,8.01,19.17
Gaussian_s002,34.01,40.2,54.8,6.18,20.78
Gaussian_s002,34.1,45.5,52.66,11.4,18.56
Gaussian_s002,34.11,37.92,51.66,3.81,17.55
Gaussian_s002,34.06,45.1,53.98,11.04,19.91
Gaussian_s002,34.01,37.79,54.03,3.78,20.03
Gaussian_s002,34.03,41.52,53.37,7.49,19.34
Gaussian_s002,34.05,33.15,55.05,0.9,21.0
Gaussian_s002,34.05,41.34,50.75,7.29,16.71
Gaussian_s002,34.07,41.83,53.16,7.76,19.09
Gaussian_s002,33.99,43.93,52.89,9.94,18.9
Gaussian_s002,34.18,37.43,52.25,3.25,18.08
Gaussian_s002,34.12,38.9,51.65,4.78,17.53
Gaussian_s002,34.05,39.69,52.66,5.63,18.61
Gaussian_s002,34.17,38.38,53.17,4.21,19.0
Gaussian_s002,34.11,42.07,53.69,7.95,19.57
Gaussian_s002,34.1,40.96,51.16,6.86,17.07
Gaussian_s002,34.11,42.03,54.56,7.93,20.46
Gaussian_s002,34.13,38.87,48.5,4.74,14.37
Gaussian_s002,34.1,42.09,52.54,7.99,18.44
Gaussian_s002,34.18,36.3,47.5,2.12,13.32
Gaussian_s002,34.1,42.36,52.66,8.26,18.56
Gaussian_s002,34.06,38.8,55.16,4.73,21.1
Gaussian_s002,34.18,42.31,52.05,8.13,17.87
Gaussian_s002,34.1,36.64,55.33,2.54,21.23
Gaussian_s002,34.1,41.49,52.48,7.39,18.37
Gaussian_s002,34.07,38.84,50.82,4.76,16.75
Gaussian_s002,34.0,41.59,47.32,7.59,13.32
Gaussian_s002,34.06,44.46,50.64,10.4,16.58
Gaussian_s002,34.15,38.96,51.5,4.82,17.36
Gaussian_s002,34.14,40.14,52.24,6.0,18.1
Gaussian_s002,34.09,43.89,52.62,9.8,18.52
Gaussian_s002,34.05,30.5,53.24,3.54,19.19
Gaussian_s002,34.1,40.73,50.62,6.63,16.51
Gaussian_s002,34.08,40.6,50.54,6.52,16.46
Gaussian_s002,34.08,38.32,50.13,4.24,16.06
Gaussian_s002,34.11,44.67,49.19,10.56,15.08
Gaussian_s002,34.01,45.23,54.42,11.21,20.41
Gaussian_s002,34.11,41.99,44.4,7.88,10.29
Gaussian_s002,34.1,37.87,52.01,3.77,17.91
Gaussian_s002,34.11,42.67,51.7,8.56,17.59
Gaussian_s002,34.13,37.96,52.03,3.83,17.91
Gaussian_s002,34.19,49.69,51.47,15.5,17.28
Gaussian_s002,34.06,40.75,48.19,6.69,14.13
Gaussian_s002,34.07,43.34,53.89,9.27,19.82
Gaussian_s002,34.15,42.47,44.94,8.32,10.79
Gaussian_s002,34.08,43.04,52.1,8.96,18.01
Gaussian_s002,34.11,41.53,49.49,7.43,15.38
Gaussian_s002,34.07,36.3,49.35,2.22,15.27
Gaussian_s002,34.11,42.74,52.69,8.64,18.59
Gaussian_s002,34.11,40.28,49.56,6.18,15.46
Gaussian_s002,34.06,41.99,51.7,7.93,17.64
Gaussian_s002,34.11,34.66,53.41,0.54,19.29
Gaussian_s002,34.06,40.99,54.28,6.93,20.22
Gaussian_s002,34.15,43.32,54.13,9.17,19.99
Gaussian_s002,34.19,42.16,51.23,7.97,17.04
Gaussian_s002,34.03,42.46,53.78,8.43,19.74
Gaussian_s002,34.12,46.94,54.1,12.82,19.98
Gaussian_s002,34.06,43.48,53.97,9.42,19.92
Gaussian_s002,34.14,40.02,51.17,5.88,17.04
Gaussian_s002,34.16,44.56,53.61,10.41,19.46
Gaussian_s002,34.08,41.2,53.5,7.12,19.43
Gaussian_s002,34.16,44.82,51.54,10.66,17.39
Gaussian_s002,34.11,41.81,53.31,7.71,19.2
Gaussian_s002,34.11,39.89,51.49,5.78,17.38
Gaussian_s002,34.1,37.38,53.47,3.27,19.37
Gaussian_s002,34.12,34.08,54.18,0.05,20.06
Gaussian_s002,34.05,42.37,50.67,8.32,16.62
Gaussian_s002,34.09,43.9,51.4,9.81,17.31
Gaussian_s002,34.05,40.21,54.67,6.16,20.62
Gaussian_s002,34.1,40.13,52.69,6.03,18.59
Gaussian_s002,34.12,46.0,53.25,11.87,19.12
Gaussian_s002,34.19,48.33,47.92,14.14,13.73
Gaussian_s002,34.04,34.39,55.23,0.35,21.2
Gaussian_s002,34.09,43.68,52.71,9.59,18.62
Gaussian_s002,34.11,40.25,53.47,6.14,19.37
Gaussian_s002,34.14,38.01,48.0,3.87,13.86
Gaussian_s002,34.11,39.27,54.13,5.16,20.02
Gaussian_s002,34.12,35.44,53.99,1.32,19.88
Gaussian_s002,34.1,45.44,51.57,11.34,17.47
Gaussian_s002,33.98,39.45,54.84,5.46,20.86
Gaussian_s002,34.09,44.9,50.44,10.81,16.35
Gaussian_s002,34.08,38.0,51.38,3.92,17.3
Gaussian_s002,34.07,39.96,51.87,5.89,17.8
Gaussian_s002,34.07,41.09,51.57,7.02,17.5
Gaussian_s002,34.12,48.42,50.19,14.3,16.06
Gaussian_s002,34.02,43.73,52.95,9.71,18.92
Gaussian_s002,34.15,44.29,51.23,10.14,17.08
Gaussian_s002,34.08,37.07,55.08,2.98,20.99
Gaussian_s002,34.06,41.53,52.82,7.47,18.76
Gaussian_s002,34.07,41.71,52.6,7.64,18.53
Gaussian_s002,34.15,40.02,52.77,5.87,18.62
Gaussian_s002,34.15,42.03,54.6,7.88,20.45
Gaussian_s002,34.11,42.08,53.19,7.97,19.08
Gaussian_s002,34.1,41.59,50.57,7.49,16.47
Gaussian_s002,34.07,38.59,49.9,4.51,15.83
Gaussian_s002,34.08,43.59,52.09,9.5,18.01
Gaussian_s002,34.14,45.64,52.0,11.5,17.86
Gaussian_s002,34.09,39.93,52.39,5.84,18.3
Gaussian_s002,34.16,41.5,51.22,7.34,17.05
Gaussian_s002,34.1,42.47,54.0,8.38,19.9
Gaussian_s005,26.24,29.78,53.88,3.55,27.64
Gaussian_s005,26.21,28.4,53.37,2.2,27.16
Gaussian_s005,26.19,28.84,53.23,2.65,27.04
Gaussian_s005,26.31,28.16,52.85,1.85,26.53
Gaussian_s005,26.16,26.33,52.97,0.17,26.81
Gaussian_s005,26.22,26.75,52.72,0.53,26.5
Gaussian_s005,26.19,28.99,54.04,2.79,27.85
Gaussian_s005,26.28,30.69,54.05,4.4,27.76
Gaussian_s005,26.25,26.68,53.37,0.43,27.12
Gaussian_s005,26.11,26.48,52.18,0.37,26.07
Gaussian_s005,26.24,25.77,53.89,0.47,27.64
Gaussian_s005,26.21,28.59,53.34,2.39,27.13
Gaussian_s005,26.12,30.91,54.57,4.78,28.45
Gaussian_s005,26.23,28.49,52.93,2.26,26.7
Gaussian_s005,26.25,32.01,52.78,5.76,26.52
Gaussian_s005,26.32,26.02,50.66,0.3,24.33
Gaussian_s005,26.2,26.55,53.68,0.35,27.48
Gaussian_s005,26.21,27.05,53.03,0.84,26.82
Gaussian_s005,26.16,29.26,53.83,3.11,27.67
Gaussian_s005,26.26,26.43,54.27,0.17,28.01
Gaussian_s005,26.25,26.42,55.33,0.17,29.08
Gaussian_s005,26.16,32.85,56.02,6.69,29.86
Gaussian_s005,26.15,25.9,52.69,0.25,26.54
Gaussian_s005,26.21,33.2,55.14,6.99,28.93
Gaussian_s005,26.17,31.32,55.09,5.15,28.92
Gaussian_s005,26.24,25.92,52.84,0.33,26.59
Gaussian_s005,26.22,26.2,53.9,0.02,27.69
Gaussian_s005,26.13,25.89,54.51,0.24,28.38
Gaussian_s005,26.22,25.83,54.55,0.39,28.33
Gaussian_s005,26.29,32.65,50.73,6.36,24.44
